movie_id,movieTitle,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Total,x,y,movie_rating,movie_directors,movie_writers,movie_stars,movie_genres,release_year,anger-orig,anticipation-orig,disgust-orig,fear-orig,joy-orig,sadness-orig,surprise-orig,trust-orig,anger-per,anticipation-per,disgust-per,fear-per,joy-per,sadness-per,surprise-per,trust-per
118840,The Manson Family,2.336392117,-2.065172174,2.01839678,1.535633213,-1.286699373,1.576004113,0.726428582,-0.49105322,0.121026524,54.93211,14.056751,5.5,Jim Van Bebber,Jim Van Bebber,Marcelo Games & Marc Pitman & Leslie Orr,Crime & Drama & History & Horror & Thriller,2004,588,512,454,681,405,542,390,655,71.68685842,19.15423076,83.44852041,75.72474559,17.49690907,52.22262847,55.8385678,30.3133131
120667,Fantastic Four,-0.186273183,0.624099018,-0.153500906,-0.261478695,0.264156425,-0.659986377,0.183838531,-0.010597439,0.109677632,-4.777619,-8.722634,5.7,Tim Story,Mark Frost & Michael France,Ioan Gruffudd & Michael Chiklis & Chris Evans,Action & Adventure & Sci-Fi,2005,4290,8937,3024,5420,7458,4415,4554,8757,33.30615955,56.46634758,49.93647841,43.88182143,45.48180199,22.37705843,50.09346463,37.65668717
121164,Corpse Bride,-1.327710198,1.882101965,-0.288231235,-1.138511049,2.178510788,0.443425229,1.383847654,0.363656357,0.117344716,-39.571068,-22.997324,7.4,Tim Burton & Mike Johnson,Tim Burton & Carlos Grangel,Johnny Depp & Helena Bonham Carter & Emily Watson,Animation & Drama & Family & Fantasy & Musical & Romance,2005,1302,4547,1307,1952,4674,2512,2379,4128,15.9399436,73.92042699,47.85761048,28.34173481,80.02595621,37.10518384,62.79951443,43.37685066
121766,Star Wars: Episode III - Revenge of the Sith,0.81702238,-0.069863244,0.348189744,0.668595233,-0.163383545,0.760646683,-0.339890862,-0.732409899,0.113721734,29.123003,13.484166,7.6,George Lucas,George Lucas,Hayden Christensen & Natalie Portman & Ewan McGregor,Action & Adventure & Fantasy & Sci-Fi,2005,21021,31587,13339,26133,25925,22588,16130,30243,48.57064385,46.83801368,57.67748677,60.36174871,37.76692593,41.33939466,44.54806366,26.62437346
129871,Desperation,0.696037361,-0.206063155,1.380320355,1.018362681,-0.777824001,0.572258499,-0.104262148,-0.154463225,0.1140795,32.330723,14.868117,5.3,Mick Garris,Stephen King & Stephen King,Tom Skerritt & Steven Weber & Annabeth Gish,Drama & Fantasy & Horror & Mystery & Thriller,2006,569,865,501,794,621,607,464,911,46.7299361,44.94831694,73.60310086,66.55925832,26.67946673,38.8248255,47.04296984,35.45781618
138524,Intolerable Cruelty,0.208394778,0.009057059,0.551735445,-0.252278924,0.737760056,-0.266145114,1.142706614,0.932389822,0.11857502,-17.05062,-29.029785,6.3,Joel Coen & Ethan Coen,Robert Ramsey & Matthew Stone,George Clooney & Catherine Zeta-Jones & Billy Bob Thornton,Comedy & Crime & Romance,2003,1307,2290,1017,1488,2242,1324,1409,2693,39.31077386,47.93298825,60.81816513,44.04483165,54.02788792,27.63397568,60.24624212,52.069477
159365,Cold Mountain,0.235398412,-0.176119914,-0.320463786,0.712606364,0.217983361,0.697411464,-0.475678,-0.471468572,0.127006119,6.4876623,20.394896,7.2,Anthony Minghella,Charles Frazier & Anthony Minghella,Jude Law & Nicole Kidman & Ren?e Zellweger,Adventure & Drama & History & Romance & War,2003,3351,5710,2009,4835,5152,4086,2893,5741,39.72161644,45.36376247,47.36026726,61.14157945,44.64861798,40.49534315,43.11030948,30.61264845
164003,City of Ghosts,-0.585563994,-0.685559669,-0.743739315,-0.54835587,-0.13973803,-0.776610943,0.068226203,0.463169406,0.116950306,-13.837718,7.4634047,6,Matt Dillon,Matt Dillon & Barry Gifford,Matt Dillon & James Caan & Natascha McElhone,Crime & Drama & Thriller,2003,218,442,146,289,392,246,257,533,27.2312116,38.295574,40.82919197,38.79866102,38.19360466,20.8203762,48.86932727,44.89782631
165982,Sinbad: Legend of the Seven Seas,-0.818384942,1.403282401,-1.015545975,-0.692010145,1.796381319,-1.106517049,0.538867171,-0.020312805,0.129440529,-37.413315,-16.263552,6.7,Patrick Gilmore & Tim Johnson,John Logan,Brad Pitt & Catherine Zeta-Jones & Joseph Fiennes,Animation & Adventure & Comedy & Drama & Family & Fantasy & Romance,2003,317,871,212,438,884,355,430,788,23.68899349,67.27707634,36.63525767,36.25325904,73.13050385,16.4168531,53.85261236,37.50819573
167190,Hellboy,-0.053174295,-0.106369855,0.229129681,0.368892775,0.205179393,-0.480489669,-0.200222336,-0.296366841,0.11840291,6.241094,1.9880514,6.8,Guillermo del Toro,Guillermo del Toro & Guillermo del Toro,Ron Perlman & Doug Jones & Selma Blair,Action & Fantasy & Horror & Sci-Fi,2004,2641,4895,2005,3770,4370,2732,2561,5001,35.33117187,46.33150509,55.84040859,55.05133782,44.41757286,24.77294588,46.02691512,33.28893534
