movie_id,movieTitle,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Total,x,y,movie_rating,movie_directors,movie_writers,movie_stars,movie_genres,release_year,anger-orig,anticipation-orig,disgust-orig,fear-orig,joy-orig,sadness-orig,surprise-orig,trust-orig,anger-per,anticipation-per,disgust-per,fear-per,joy-per,sadness-per,surprise-per,trust-per
118926,A1,0.71001891,-2.31286315,0.341013692,1.186499642,-1.35218091,0.430288105,-0.297525249,0.601688818,0.134085292,55.872944,49.844482,7,John Malkovich,Nicholas Shakespeare & Nicholas Shakespeare,Javier Bardem & Laura Morante & Juan Diego Botto,Drama & Thriller & Crime,2003,750,17874,2614,52266,1242,2648,528,1066,61.13809621,11.29705371,56.05886425,73.15919448,28.92609836,59.55868242,62.39224929,59.93168612
120667,A12,-0.080149496,0.684425887,-0.180990636,-0.299776031,0.388231963,-0.647340147,0.245215796,0.088860169,0.109677632,-21.339558,-22.360983,5.7,Tim Story,Mark Frost & Michael France,Ioan Gruffudd & Michael Chiklis & Chris Evans,Action & Adventure & Sci-Fi,2005,8580,9094,26678,1588,4484,582,514,1576,46.4197054,59.80011435,46.79420465,42.73849514,60.20978633,40.48011633,67.4222558,51.80021275
121164,A23,-1.534038206,1.79724432,-0.314205503,-1.17326192,1.908987425,0.499979443,1.317130316,0.454536328,0.117344716,-87.05326,-12.294835,7.4,Tim Burton & Mike Johnson,Tim Burton & Carlos Grangel,Johnny Depp & Helena Bonham Carter & Emily Watson,Animation & Drama & Family & Fantasy & Musical & Romance,2005,2604,63174,1002,2976,1028,492,860,10002,19.33826041,77.8080873,44.42987483,24.86021584,87.54516179,60.79251309,77.35652752,57.59841836
121766,A34,0.849540876,0.005883747,0.314993088,0.626541771,-0.033496341,0.78530092,-0.278358466,-0.66969171,0.113721734,56.861645,-22.619617,7.6,George Lucas,George Lucas,Hayden Christensen & Natalie Portman & Ewan McGregor,Action & Adventure & Fantasy & Sci-Fi,2005,1090,1730,2034,716,784,710,5122,50406,63.73695844,48.81973503,55.59704425,61.69812414,52.62927663,65.84390688,62.56988289,39.77252198
129871,A45,0.749040188,-0.133527802,1.335384109,0.974893513,-0.71700984,0.617875686,-0.038063276,-0.056475887,0.1140795,64.32548,-22.274576,5.3,Mick Garris,Stephen King & Stephen King,Tom Skerritt & Steven Weber & Annabeth Gish,Drama & Fantasy & Horror & Mystery & Thriller,2006,1138,4580,284,578,1768,5464,24754,4074,61.8649418,46.56373411,73.70719193,68.82809592,40.34321315,62.87977395,64.79688669,49.49574658
138524,A56,0.313842985,0.085690438,0.516219369,-0.290611964,0.814087968,-0.20613237,1.114269895,0.978943276,0.11857502,-37.35643,-22.08307,6.3,Joel Coen & Ethan Coen,Robert Ramsey & Matthew Stone,George Clooney & Catherine Zeta-Jones & Billy Bob Thornton,Comedy & Crime & Romance,2003,2614,960,292,876,8740,25010,1616,2380,53.75856541,50.11119165,59.16845716,42.92606286,67.8644909,48.29135524,75.47646105,65.91347865
161860,A67,-1.119174981,-0.960576646,-1.259440633,-0.206333903,0.691154604,-0.54226154,-0.516372887,1.024774948,0.121450113,-35.359417,45.62283,7.7,Caroline Link,Caroline Link & Stefanie Zweig,Juliane K?hler & Merab Ninidze & Matthias Habich,Biography & Drama,2003,418,884,424,7540,42802,1806,1000,6760,27.06587775,33.18017325,27.65361216,44.65104403,65.65478017,42.34045095,60.36401676,66.64019121
164003,A78,-0.526635585,-0.642302704,-0.76454454,-0.585498652,-0.009126963,-0.78604701,0.132878927,0.548920899,0.116950306,-27.71617,45.387856,6,Matt Dillon,Matt Dillon & Barry Gifford,Matt Dillon & James Caan & Natascha McElhone,Crime & Drama & Thriller,2003,436,1742,4010,29524,3152,1326,4062,26190,38.10305202,38.33058088,36.43714822,36.89039973,53.06731293,38.02441971,66.38114202,59.09499158
165982,A89,-0.814197941,1.3897685,-1.033264031,-0.728556724,1.643142419,-1.201268107,0.579466471,0.079120915,0.129440529,-91.22657,-1.873969,6.7,Patrick Gilmore & Tim Johnson,John Logan,Brad Pitt & Catherine Zeta-Jones & Joseph Fiennes,Animation & Adventure & Comedy & Drama & Family & Fantasy & Romance,2003,634,9790,14300,1994,1986,4690,13546,5746,32.74665571,71.21418723,31.66784943,33.96232476,82.76663347,30.67325466,70.5200187,51.64578595
167190,A100,0.057464176,-0.031285986,0.197266461,0.328045466,0.332312934,-0.441271605,-0.134964034,-0.202563364,0.11840291,-3.5194216,-2.1764388,6.8,Guillermo del Toro,Guillermo del Toro & Guillermo del Toro,Ron Perlman & Doug Jones & Selma Blair,Action & Fantasy & Horror & Sci-Fi,2004,5282,51322,1244,1438,5254,14430,2950,4516,48.98302202,48.21824288,53.50760348,55.58858032,59.20464928,44.12839883,63.89883144,47.17936579
