movie_rating,movie_directors,movie_writers,movie_stars,movie_genres,release_year,anticipation-orig,joy-orig,trust-orig,anger-orig,fear-orig,disgust-orig,sadness-orig,surprise-orig,anticipation-per,joy-per,trust-per,anger-per,fear-per,disgust-per,sadness-per,surprise-per,anger-Percentile,anticipation-Percentile,disgust-Percentile,fear-Percentile,joy-Percentile,sadness-Percentile,surprise-Percentile,trust-Percentile,Total
5.5,Jim Van Bebber,Jim Van Bebber,Marcelo Games & Marc Pitman & Leslie Orr,Crime & Drama & History & Horror & Thriller,2004,512,405,655,588,681,454,542,390,19.15423076,17.49690907,30.3133131,71.68685842,75.72474559,83.44852041,52.22262847,55.8385678,99.03,1.95,97.82,93.77,9.91,94.25,76.62,31.17,0.121026524
5.7,Tim Story,Mark Frost & Michael France,Ioan Gruffudd & Michael Chiklis & Chris Evans,Action & Adventure & Sci-Fi,2005,8937,7458,8757,4290,5420,3024,4415,4554,56.46634758,45.48180199,37.65668717,33.30615955,43.88182143,49.93647841,22.37705843,50.09346463,42.61,73.37,43.9,39.69,60.42,25.46,57.29,49.58,0.109677632
7.4,Tim Burton & Mike Johnson,Tim Burton & Carlos Grangel,Johnny Depp & Helena Bonham Carter & Emily Watson,Animation & Drama & Family & Fantasy & Musical & Romance,2005,4547,4674,4128,1302,1952,1307,2512,2379,73.92042699,80.02595621,43.37685066,15.9399436,28.34173481,47.85761048,37.10518384,62.79951443,9.21,97.01,38.66,12.75,98.53,67.13,91.68,64.19,0.117344716
7.6,George Lucas,George Lucas,Hayden Christensen & Natalie Portman & Ewan McGregor,Action & Adventure & Fantasy & Sci-Fi,2005,31587,25925,30243,21021,26133,13339,22588,16130,46.83801368,37.76692593,26.62437346,48.57064385,60.36174871,57.67748677,41.33939466,44.54806366,79.3,47.22,63.62,74.81,43.51,77.66,36.7,23.2,0.113721734
5.3,Mick Garris,Stephen King & Stephen King,Tom Skerritt & Steven Weber & Annabeth Gish,Drama & Fantasy & Horror & Mystery & Thriller,2006,865,621,911,569,794,501,607,464,44.94831694,26.67946673,35.45781618,46.7299361,66.55925832,73.60310086,38.8248255,47.04296984,75.68,41.84,91.63,84.57,21.83,71.64,45.85,43.86,0.1140795
6.3,Joel Coen & Ethan Coen,Robert Ramsey & Matthew Stone,George Clooney & Catherine Zeta-Jones & Billy Bob Thornton,Comedy & Crime & Romance,2003,2290,2242,2693,1307,1488,1017,1324,1409,47.93298825,54.02788792,52.069477,39.31077386,44.04483165,60.81816513,27.63397568,60.24624212,58.25,50.36,70.94,40.04,76.97,39.51,87.34,82.44,0.11857502
7.2,Anthony Minghella,Charles Frazier & Anthony Minghella,Jude Law & Nicole Kidman & Ren?e Zellweger,Adventure & Drama & History & Romance & War,2003,5710,5152,5741,3351,4835,2009,4086,2893,45.36376247,44.64861798,30.61264845,39.72161644,61.14157945,47.36026726,40.49534315,43.11030948,59.31,43.01,37.43,76.2,58.63,75.72,31.72,31.87,0.127006119
6,Matt Dillon,Matt Dillon & Barry Gifford,Matt Dillon & James Caan & Natascha McElhone,Crime & Drama & Thriller,2003,442,392,533,218,289,146,246,257,38.295574,38.19360466,44.89782631,27.2312116,38.79866102,40.82919197,20.8203762,48.86932727,27.91,24.65,22.85,29.17,44.44,21.87,52.72,67.84,0.116950306
6.7,Patrick Gilmore & Tim Johnson,John Logan,Brad Pitt & Catherine Zeta-Jones & Joseph Fiennes,Animation & Adventure & Comedy & Drama & Family & Fantasy & Romance,2003,871,884,788,317,438,212,355,430,67.27707634,73.13050385,37.50819573,23.68899349,36.25325904,36.63525767,16.4168531,53.85261236,20.66,91.97,15.49,24.45,96.38,13.43,70.5,49.19,0.129440529
6.8,Guillermo del Toro,Guillermo del Toro & Guillermo del Toro,Ron Perlman & Doug Jones & Selma Blair,Action & Fantasy & Horror & Sci-Fi,2004,4895,4370,5001,2641,3770,2005,2732,2561,46.33150509,44.41757286,33.28893534,35.33117187,55.05133782,55.84040859,24.77294588,46.02691512,47.88,45.76,59.06,64.39,58.13,31.54,42.07,38.35,0.11840291
